checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,6,critical,furniture/appliances,1169.00 ,unknown,> 7 years,4,4,67,none,own,2,skilled,1,yes,no
1 - 200 DM,48,good,furniture/appliances,5951.00 ,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
unknown,12,critical,education,2096.00 ,< 100 DM,4 - 7 years,2,3,49,none,own,1,unskilled,2,no,no
< 0 DM,42,good,furniture/appliances,7882.00 ,< 100 DM,4 - 7 years,2,4,45,none,other,1,skilled,2,no,no
< 0 DM,24,poor,car,4870.00 ,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,yes
unknown,36,good,education,9055.00 ,unknown,1 - 4 years,2,4,35,none,other,1,unskilled,2,yes,no
unknown,24,good,furniture/appliances,2835.00 ,500 - 1000 DM,> 7 years,3,4,53,none,own,1,skilled,1,no,no
1 - 200 DM,36,good,car,6948.00 ,< 100 DM,1 - 4 years,2,2,35,none,rent,1,management,1,yes,no
unknown,12,good,furniture/appliances,3059.00 ,> 1000 DM,4 - 7 years,2,4,61,none,own,1,unskilled,1,no,no
1 - 200 DM,30,critical,car,5234.00 ,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,yes
1 - 200 DM,12,good,car,1295.00 ,< 100 DM,< 1 year,3,1,25,none,rent,1,skilled,1,no,yes
< 0 DM,48,good,business,4308.00 ,< 100 DM,< 1 year,3,4,24,none,rent,1,skilled,1,no,yes
1 - 200 DM,12,good,furniture/appliances,,< 100 DM,1 - 4 years,1,1,22,none,own,1,skilled,1,yes,no
< 0 DM,24,critical,car,1199.00 ,< 100 DM,> 7 years,4,4,60,none,own,2,unskilled,1,no,yes
< 0 DM,15,good,car,1403.00 ,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no,no
< 0 DM,24,good,furniture/appliances,1282.00 ,100 - 500 DM,1 - 4 years,4,2,32,none,own,1,unskilled,1,no,yes
unknown,24,critical,furniture/appliances,2424.00 ,unknown,> 7 years,4,4,53,none,own,2,skilled,1,no,no
< 0 DM,30,perfect,business,8072.00 ,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no,no
1 - 200 DM,24,good,car,12579.00 ,< 100 DM,> 7 years,4,2,44,none,other,1,management,1,yes,yes
unknown,24,good,furniture/appliances,3430.00 ,500 - 1000 DM,> 7 years,3,2,31,none,own,1,skilled,2,yes,no
unknown,9,critical,car,,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,yes,no
< 0 DM,6,good,furniture/appliances,2647.00 ,500 - 1000 DM,1 - 4 years,2,3,44,none,rent,1,skilled,2,no,no
< 0 DM,10,critical,car,2241.00 ,< 100 DM,< 1 year,1,3,48,none,rent,2,unskilled,2,no,no
1 - 200 DM,12,critical,car,1804.00 ,100 - 500 DM,< 1 year,3,4,44,none,own,1,skilled,1,no,no
unknown,10,critical,furniture/appliances,2069.00 ,unknown,1 - 4 years,2,1,26,none,own,2,skilled,1,no,no
< 0 DM,6,good,furniture/appliances,1374.00 ,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,yes,no
unknown,6,perfect,furniture/appliances,426.00 ,< 100 DM,> 7 years,4,4,39,none,own,1,unskilled,1,no,no
> 200 DM,12,very good,furniture/appliances,409.00 ,> 1000 DM,1 - 4 years,3,3,42,none,rent,2,skilled,1,no,no
1 - 200 DM,7,good,furniture/appliances,2415.00 ,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no,no
< 0 DM,60,poor,business,6836.00 ,< 100 DM,> 7 years,3,4,63,none,own,2,skilled,1,yes,yes
1 - 200 DM,18,good,business,1913.00 ,> 1000 DM,< 1 year,3,3,36,bank,own,1,skilled,1,yes,no
< 0 DM,24,good,furniture/appliances,4020.00 ,< 100 DM,1 - 4 years,2,2,27,store,own,1,skilled,1,no,no
1 - 200 DM,18,good,car,5866.00 ,100 - 500 DM,1 - 4 years,2,2,30,none,own,2,skilled,1,yes,no
unknown,12,critical,business,1264.00 ,unknown,> 7 years,4,4,57,none,rent,1,unskilled,1,no,no
> 200 DM,12,good,furniture/appliances,1474.00 ,< 100 DM,< 1 year,4,1,33,bank,own,1,management,1,yes,no
1 - 200 DM,45,critical,furniture/appliances,4746.00 ,< 100 DM,< 1 year,4,2,25,none,own,2,unskilled,1,no,yes
unknown,48,critical,education,6110.00 ,< 100 DM,1 - 4 years,1,3,31,bank,other,1,skilled,1,yes,no
> 200 DM,18,good,furniture/appliances,2100.00 ,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,no,yes
> 200 DM,10,good,furniture/appliances,1225.00 ,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,yes,no
1 - 200 DM,9,good,furniture/appliances,458.00 ,< 100 DM,1 - 4 years,4,3,24,none,own,1,skilled,1,no,no
unknown,30,good,furniture/appliances,2333.00 ,500 - 1000 DM,> 7 years,4,2,30,bank,own,1,management,1,no,no
1 - 200 DM,12,good,furniture/appliances,1158.00 ,500 - 1000 DM,1 - 4 years,3,1,26,none,own,1,skilled,1,yes,no
1 - 200 DM,18,poor,renovations,6204.00 ,< 100 DM,1 - 4 years,2,4,44,none,own,1,unskilled,2,yes,no
< 0 DM,30,critical,car,6187.00 ,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no,no
< 0 DM,48,critical,car,6143.00 ,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,no,yes
unknown,11,critical,car,1393.00 ,< 100 DM,< 1 year,4,4,35,none,own,2,management,1,no,no
unknown,36,good,furniture/appliances,2299.00 ,500 - 1000 DM,> 7 years,4,4,39,none,own,1,skilled,1,no,no
< 0 DM,6,good,car,1352.00 ,500 - 1000 DM,unemployed,1,2,23,none,rent,1,unemployed,1,yes,no
unknown,11,critical,car,7228.00 ,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no,no
unknown,12,good,furniture/appliances,2073.00 ,100 - 500 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
1 - 200 DM,24,poor,furniture/appliances,2333.00 ,unknown,< 1 year,4,2,29,bank,own,1,unskilled,1,no,no
1 - 200 DM,27,poor,car,5965.00 ,< 100 DM,> 7 years,1,2,30,none,own,2,management,1,yes,no
unknown,12,good,furniture/appliances,1262.00 ,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,no
unknown,18,good,car,3378.00 ,unknown,1 - 4 years,2,1,31,none,own,1,skilled,1,yes,no
1 - 200 DM,36,poor,car,2225.00 ,< 100 DM,> 7 years,4,4,57,bank,other,2,skilled,1,yes,yes
unknown,6,very good,car,783.00 ,unknown,1 - 4 years,1,2,26,store,own,1,unskilled,2,no,no
1 - 200 DM,12,good,furniture/appliances,6468.00 ,unknown,unemployed,2,1,52,none,own,1,management,1,yes,yes
unknown,36,critical,furniture/appliances,9566.00 ,< 100 DM,1 - 4 years,2,2,31,store,own,2,skilled,1,no,no
> 200 DM,18,good,car,,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no,no
< 0 DM,36,critical,furniture/appliances,6229.00 ,< 100 DM,< 1 year,4,4,23,none,rent,2,unskilled,1,yes,yes
1 - 200 DM,9,good,business,1391.00 ,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,yes,no
1 - 200 DM,15,critical,furniture/appliances,1537.00 ,unknown,> 7 years,4,4,50,none,own,2,skilled,1,yes,no
1 - 200 DM,36,perfect,business,1953.00 ,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes,yes
1 - 200 DM,48,perfect,business,14421.00 ,< 100 DM,1 - 4 years,2,2,25,none,own,1,skilled,1,yes,yes
unknown,24,good,furniture/appliances,3181.00 ,< 100 DM,< 1 year,4,4,26,none,own,1,skilled,1,yes,no
unknown,27,good,renovations,5190.00 ,unknown,> 7 years,4,4,48,none,own,4,skilled,2,yes,no
unknown,12,good,furniture/appliances,2171.00 ,< 100 DM,< 1 year,2,2,29,bank,own,1,skilled,1,no,no
1 - 200 DM,12,good,car,1007.00 ,> 1000 DM,1 - 4 years,4,1,22,none,own,1,skilled,1,no,no
unknown,36,good,education,1819.00 ,< 100 DM,1 - 4 years,4,4,37,store,other,1,skilled,1,yes,yes
unknown,36,good,furniture/appliances,2394.00 ,unknown,1 - 4 years,4,4,25,none,own,1,skilled,1,no,no
unknown,36,good,car,8133.00 ,< 100 DM,1 - 4 years,1,2,30,bank,own,1,skilled,1,no,no
unknown,7,critical,furniture/appliances,730.00 ,unknown,> 7 years,4,2,46,none,rent,2,unskilled,1,yes,no
< 0 DM,8,critical,car0,1164.00 ,< 100 DM,> 7 years,3,4,51,bank,other,2,management,2,yes,no
1 - 200 DM,42,critical,business,5954.00 ,< 100 DM,4 - 7 years,2,1,41,bank,own,2,unskilled,1,no,no
< 0 DM,36,good,education,1977.00 ,unknown,> 7 years,4,4,40,none,own,1,management,1,yes,yes
< 0 DM,12,critical,car,1526.00 ,< 100 DM,> 7 years,4,4,66,none,other,2,management,1,no,no
< 0 DM,42,good,furniture/appliances,3965.00 ,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,no,yes
1 - 200 DM,11,poor,furniture/appliances,4771.00 ,< 100 DM,4 - 7 years,2,4,51,none,own,1,skilled,1,no,no
unknown,54,perfect,car,9436.00 ,unknown,1 - 4 years,2,2,39,none,own,1,unskilled,2,no,no
1 - 200 DM,30,good,furniture/appliances,3832.00 ,< 100 DM,< 1 year,2,1,22,none,own,1,skilled,1,no,no
unknown,24,good,furniture/appliances,5943.00 ,unknown,< 1 year,1,1,44,none,own,2,skilled,1,yes,yes
unknown,15,good,furniture/appliances,1213.00 ,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,yes,no
unknown,18,good,business,,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no,no
< 0 DM,24,good,car0,1755.00 ,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,yes,no
< 0 DM,10,good,furniture/appliances,2315.00 ,< 100 DM,> 7 years,3,4,52,none,own,1,unskilled,1,no,no
unknown,12,critical,business,1412.00 ,< 100 DM,1 - 4 years,4,2,29,none,own,2,management,1,yes,no
1 - 200 DM,18,critical,furniture/appliances,1295.00 ,< 100 DM,< 1 year,4,1,27,none,own,2,skilled,1,no,no
1 - 200 DM,36,good,education,12612.00 ,100 - 500 DM,1 - 4 years,1,4,47,none,other,1,skilled,2,yes,yes
< 0 DM,18,good,car,2249.00 ,100 - 500 DM,4 - 7 years,4,3,30,none,own,1,management,2,yes,no
< 0 DM,12,perfect,renovations,1108.00 ,< 100 DM,4 - 7 years,4,3,28,none,own,2,skilled,1,no,yes
unknown,12,critical,furniture/appliances,618.00 ,< 100 DM,> 7 years,4,4,56,none,own,1,skilled,1,no,no
< 0 DM,12,critical,car,1409.00 ,< 100 DM,> 7 years,4,3,54,none,own,1,skilled,1,no,no
unknown,12,critical,furniture/appliances,797.00 ,unknown,> 7 years,4,3,33,bank,own,1,unskilled,2,no,yes
> 200 DM,24,critical,furniture/appliances,3617.00 ,unknown,> 7 years,4,4,20,none,rent,2,skilled,1,no,no
1 - 200 DM,12,good,car,1318.00 ,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,yes,no
1 - 200 DM,54,perfect,business,15945.00 ,< 100 DM,< 1 year,3,4,58,none,rent,1,skilled,1,yes,yes
unknown,12,critical,education,2012.00 ,unknown,4 - 7 years,4,2,61,none,own,1,skilled,1,no,no
1 - 200 DM,18,good,business,2622.00 ,100 - 500 DM,1 - 4 years,4,4,34,none,own,1,skilled,1,no,no
1 - 200 DM,36,critical,furniture/appliances,2337.00 ,< 100 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
1 - 200 DM,20,poor,car,7057.00 ,unknown,4 - 7 years,3,4,36,bank,rent,2,management,2,yes,no
unknown,24,good,car,1469.00 ,100 - 500 DM,> 7 years,4,4,41,none,rent,1,unskilled,1,no,no
1 - 200 DM,36,good,furniture/appliances,2323.00 ,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no,no
unknown,6,poor,furniture/appliances,932.00 ,< 100 DM,1 - 4 years,3,2,24,none,own,1,skilled,1,no,no
1 - 200 DM,9,critical,furniture/appliances,1919.00 ,< 100 DM,4 - 7 years,4,3,35,none,rent,1,skilled,1,yes,no
unknown,12,good,car,2445.00 ,unknown,< 1 year,2,4,26,none,rent,1,skilled,1,yes,no
1 - 200 DM,24,critical,car0,11938.00 ,< 100 DM,1 - 4 years,2,3,39,none,own,2,management,2,yes,yes
unknown,18,very good,car,6458.00 ,< 100 DM,> 7 years,2,4,39,bank,own,2,management,2,yes,yes
1 - 200 DM,12,good,car,6078.00 ,< 100 DM,4 - 7 years,2,2,32,none,own,1,skilled,1,no,no
< 0 DM,24,good,furniture/appliances,7721.00 ,unknown,< 1 year,1,2,30,none,own,1,skilled,1,yes,no
1 - 200 DM,14,good,business,1410.00 ,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,yes,no
1 - 200 DM,6,poor,business,1449.00 ,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no,no
> 200 DM,15,good,education,392.00 ,< 100 DM,< 1 year,4,4,23,none,rent,1,skilled,1,yes,no
1 - 200 DM,18,good,car,6260.00 ,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no,no
unknown,36,critical,car,7855.00 ,< 100 DM,1 - 4 years,4,2,25,store,own,2,skilled,1,yes,yes
< 0 DM,12,good,furniture/appliances,1680.00 ,500 - 1000 DM,> 7 years,3,1,35,none,own,1,skilled,1,no,no
unknown,48,critical,furniture/appliances,3578.00 ,unknown,> 7 years,4,1,47,none,own,1,skilled,1,yes,no
< 0 DM,42,good,furniture/appliances,7174.00 ,unknown,4 - 7 years,4,3,30,none,own,1,management,1,yes,yes
< 0 DM,10,critical,furniture/appliances,2132.00 ,unknown,< 1 year,2,3,27,none,rent,2,skilled,1,no,no
< 0 DM,33,critical,furniture/appliances,4281.00 ,500 - 1000 DM,1 - 4 years,1,4,23,none,own,2,skilled,1,no,yes
1 - 200 DM,12,critical,car,2366.00 ,500 - 1000 DM,4 - 7 years,3,3,36,none,own,1,management,1,yes,no
< 0 DM,21,good,furniture/appliances,1835.00 ,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes,yes
unknown,24,critical,car,3868.00 ,< 100 DM,> 7 years,4,2,41,none,rent,2,management,1,yes,no
unknown,12,good,furniture/appliances,1768.00 ,< 100 DM,1 - 4 years,3,2,24,none,rent,1,unskilled,1,no,no
> 200 DM,10,critical,car,781.00 ,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,yes,no
1 - 200 DM,18,good,furniture/appliances,1924.00 ,unknown,< 1 year,4,3,27,none,rent,1,skilled,1,no,yes
< 0 DM,12,critical,car,2121.00 ,< 100 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,no
< 0 DM,12,good,furniture/appliances,701.00 ,< 100 DM,1 - 4 years,4,2,40,none,own,1,unskilled,1,no,no
1 - 200 DM,12,good,renovations,639.00 ,< 100 DM,1 - 4 years,4,2,30,none,own,1,skilled,1,no,yes
1 - 200 DM,12,critical,car,1860.00 ,< 100 DM,unemployed,4,2,34,none,own,2,management,1,yes,no
< 0 DM,12,critical,car,3499.00 ,< 100 DM,1 - 4 years,3,2,29,none,own,2,skilled,1,no,yes
1 - 200 DM,48,good,car,8487.00 ,unknown,4 - 7 years,1,2,24,none,own,1,skilled,1,no,no
< 0 DM,36,poor,education,6887.00 ,< 100 DM,1 - 4 years,4,3,29,store,own,1,skilled,1,yes,yes
unknown,15,good,furniture/appliances,2708.00 ,< 100 DM,< 1 year,2,3,27,bank,own,2,unskilled,1,no,no
unknown,18,good,furniture/appliances,1984.00 ,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no,no
unknown,60,good,furniture/appliances,10144.00 ,100 - 500 DM,4 - 7 years,2,4,21,none,own,1,skilled,1,yes,no
unknown,12,critical,furniture/appliances,1240.00 ,unknown,> 7 years,4,2,38,none,own,2,skilled,1,yes,no
unknown,27,poor,car,8613.00 ,> 1000 DM,1 - 4 years,2,2,27,none,own,2,skilled,1,no,no
1 - 200 DM,12,good,furniture/appliances,766.00 ,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,no,yes
1 - 200 DM,15,critical,furniture/appliances,2728.00 ,unknown,4 - 7 years,4,2,35,bank,own,3,skilled,1,yes,no
> 200 DM,12,good,furniture/appliances,1881.00 ,< 100 DM,1 - 4 years,2,2,44,none,rent,1,unskilled,1,yes,no
> 200 DM,6,good,car,709.00 ,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no,no
1 - 200 DM,36,good,furniture/appliances,4795.00 ,< 100 DM,< 1 year,4,1,30,none,own,1,management,1,yes,no
< 0 DM,27,good,furniture/appliances,3416.00 ,< 100 DM,1 - 4 years,3,2,27,none,own,1,management,1,no,no
< 0 DM,18,good,furniture/appliances,2462.00 ,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
unknown,21,critical,furniture/appliances,2288.00 ,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,yes,no
1 - 200 DM,48,very good,business,3566.00 ,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no,no
< 0 DM,6,critical,car,860.00 ,< 100 DM,> 7 years,1,4,39,none,own,2,skilled,1,yes,no
unknown,12,critical,car,682.00 ,100 - 500 DM,4 - 7 years,4,3,51,none,own,2,skilled,1,yes,no
< 0 DM,36,critical,furniture/appliances,5371.00 ,< 100 DM,1 - 4 years,3,2,28,none,own,2,skilled,1,no,no
unknown,18,critical,furniture/appliances,1582.00 ,> 1000 DM,> 7 years,4,4,46,none,own,2,skilled,1,no,no
unknown,6,good,furniture/appliances,1346.00 ,100 - 500 DM,> 7 years,2,4,42,bank,other,1,skilled,2,yes,no
unknown,10,good,furniture/appliances,1924.00 ,< 100 DM,1 - 4 years,1,4,38,none,own,1,skilled,1,yes,no
> 200 DM,36,good,furniture/appliances,5848.00 ,< 100 DM,1 - 4 years,4,1,24,none,own,1,skilled,1,no,no
1 - 200 DM,24,critical,car,7758.00 ,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no,no
1 - 200 DM,24,poor,business,6967.00 ,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,yes,no
< 0 DM,12,good,furniture/appliances,1282.00 ,< 100 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no,yes
< 0 DM,9,critical,renovations,1288.00 ,100 - 500 DM,> 7 years,3,4,48,none,own,2,skilled,2,no,no
< 0 DM,12,very good,education,339.00 ,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no,no
1 - 200 DM,24,good,car,3512.00 ,100 - 500 DM,4 - 7 years,2,3,38,bank,own,2,skilled,1,yes,no
unknown,6,critical,furniture/appliances,1898.00 ,unknown,1 - 4 years,1,2,34,none,own,2,unskilled,2,no,no
unknown,24,critical,furniture/appliances,2872.00 ,100 - 500 DM,> 7 years,3,4,36,none,own,1,skilled,2,yes,no
unknown,18,critical,car,1055.00 ,< 100 DM,< 1 year,4,1,30,none,own,2,skilled,1,no,no
unknown,15,good,furniture/appliances,1262.00 ,500 - 1000 DM,4 - 7 years,4,3,36,none,own,2,skilled,1,yes,no
1 - 200 DM,10,good,car,7308.00 ,< 100 DM,unemployed,2,4,70,bank,other,1,management,1,yes,no
unknown,36,good,car,909.00 ,500 - 1000 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
unknown,6,good,furniture/appliances,2978.00 ,500 - 1000 DM,1 - 4 years,1,2,32,none,own,1,skilled,1,yes,no
< 0 DM,18,good,furniture/appliances,1131.00 ,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,no,yes
1 - 200 DM,11,good,furniture/appliances,1577.00 ,> 1000 DM,< 1 year,4,1,20,none,own,1,skilled,1,no,no
unknown,24,good,furniture/appliances,3972.00 ,< 100 DM,4 - 7 years,2,4,25,none,rent,1,skilled,1,yes,no
1 - 200 DM,24,critical,business,1935.00 ,< 100 DM,> 7 years,4,4,31,none,own,2,skilled,1,yes,yes
< 0 DM,15,perfect,car,950.00 ,< 100 DM,> 7 years,4,3,33,none,rent,2,skilled,2,no,yes
unknown,12,good,furniture/appliances,763.00 ,< 100 DM,1 - 4 years,4,1,26,none,own,1,skilled,1,yes,no
1 - 200 DM,24,poor,furniture/appliances,2064.00 ,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes,yes
1 - 200 DM,8,good,furniture/appliances,1414.00 ,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,no
< 0 DM,21,poor,education,3414.00 ,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,no,yes
unknown,30,very good,car,7485.00 ,unknown,unemployed,4,1,53,bank,own,1,management,1,yes,yes
< 0 DM,12,good,furniture/appliances,2577.00 ,< 100 DM,1 - 4 years,2,1,42,none,own,1,skilled,1,no,no
< 0 DM,6,critical,furniture/appliances,338.00 ,500 - 1000 DM,> 7 years,4,4,52,none,own,2,skilled,1,no,no
unknown,12,good,furniture/appliances,1963.00 ,< 100 DM,4 - 7 years,4,2,31,none,rent,2,management,2,yes,no
< 0 DM,21,critical,car,571.00 ,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no,no
unknown,36,poor,business,9572.00 ,< 100 DM,< 1 year,1,1,28,none,own,2,skilled,1,no,yes
1 - 200 DM,36,poor,business,4455.00 ,< 100 DM,1 - 4 years,2,2,30,store,own,2,management,1,yes,yes
< 0 DM,21,very good,car,1647.00 ,unknown,1 - 4 years,4,2,40,none,own,2,unskilled,2,no,yes
unknown,24,critical,furniture/appliances,3777.00 ,> 1000 DM,1 - 4 years,4,4,50,none,own,1,skilled,1,yes,no
1 - 200 DM,18,critical,car,884.00 ,< 100 DM,> 7 years,4,4,36,bank,own,1,skilled,2,yes,yes
unknown,15,critical,furniture/appliances,1360.00 ,< 100 DM,1 - 4 years,4,2,31,none,own,2,skilled,1,no,no
1 - 200 DM,9,very good,car,5129.00 ,< 100 DM,> 7 years,2,4,74,bank,other,1,management,2,yes,yes
1 - 200 DM,16,critical,car,1175.00 ,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,yes,no
< 0 DM,12,good,furniture/appliances,674.00 ,100 - 500 DM,4 - 7 years,4,1,20,none,own,1,skilled,1,no,yes
1 - 200 DM,18,perfect,furniture/appliances,3244.00 ,< 100 DM,1 - 4 years,1,4,33,bank,own,2,skilled,1,yes,no
unknown,24,good,business,4591.00 ,> 1000 DM,1 - 4 years,2,3,54,none,own,3,management,1,yes,yes
1 - 200 DM,48,perfect,business,3844.00 ,100 - 500 DM,4 - 7 years,4,4,34,none,other,1,unskilled,2,no,yes
1 - 200 DM,27,good,business,3915.00 ,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes,yes
unknown,6,good,furniture/appliances,2108.00 ,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no,no
1 - 200 DM,45,good,furniture/appliances,3031.00 ,100 - 500 DM,1 - 4 years,4,4,21,none,rent,1,skilled,1,no,yes
1 - 200 DM,9,critical,education,1501.00 ,< 100 DM,> 7 years,2,3,34,none,own,2,management,1,yes,yes
