checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
1 - 200 DM,39,poor,education,11760.00 ,100 - 500 DM,4 - 7 years,2,3,32,none,rent,1,skilled,1,yes,no
< 0 DM,12,good,furniture/appliances,2578.00 ,< 100 DM,unemployed,3,4,55,none,other,1,management,1,no,no
< 0 DM,36,critical,furniture/appliances,2348.00 ,< 100 DM,1 - 4 years,3,2,46,none,own,2,skilled,1,yes,no
1 - 200 DM,12,good,car,1223.00 ,< 100 DM,> 7 years,1,1,46,none,rent,2,skilled,1,no,yes
unknown,24,critical,furniture/appliances,1516.00 ,> 1000 DM,1 - 4 years,4,1,43,none,own,2,unskilled,1,no,no
unknown,18,good,furniture/appliances,1473.00 ,< 100 DM,< 1 year,3,4,39,none,own,1,skilled,1,yes,no
1 - 200 DM,18,critical,business,1887.00 ,unknown,1 - 4 years,4,4,28,bank,own,2,skilled,1,no,no
unknown,24,poor,business,8648.00 ,< 100 DM,< 1 year,2,2,27,bank,own,2,skilled,1,yes,yes
unknown,14,poor,car,802.00 ,< 100 DM,1 - 4 years,4,2,27,none,own,2,unskilled,1,no,no
1 - 200 DM,18,poor,car,2899.00 ,unknown,> 7 years,4,4,43,none,own,1,skilled,2,no,no
1 - 200 DM,24,good,furniture/appliances,2039.00 ,< 100 DM,< 1 year,1,1,22,none,own,1,skilled,1,yes,yes
unknown,24,critical,car,2197.00 ,unknown,4 - 7 years,4,4,43,none,own,2,skilled,2,yes,no
< 0 DM,15,good,furniture/appliances,1053.00 ,< 100 DM,< 1 year,4,2,27,none,own,1,skilled,1,no,no
unknown,24,good,furniture/appliances,3235.00 ,500 - 1000 DM,> 7 years,3,2,26,none,own,1,management,1,yes,no
> 200 DM,12,critical,car,939.00 ,500 - 1000 DM,4 - 7 years,4,2,28,none,own,3,skilled,1,yes,yes
1 - 200 DM,24,good,furniture/appliances,1967.00 ,< 100 DM,> 7 years,4,4,20,none,own,1,skilled,1,yes,no
unknown,33,critical,car,7253.00 ,< 100 DM,4 - 7 years,3,2,35,none,own,2,management,1,yes,no
unknown,12,critical,business,2292.00 ,< 100 DM,unemployed,4,2,42,store,own,2,management,1,yes,yes
unknown,10,good,car,1597.00 ,500 - 1000 DM,1 - 4 years,3,2,40,none,rent,1,unskilled,2,no,no
< 0 DM,24,good,car,1381.00 ,unknown,1 - 4 years,4,2,35,none,own,1,skilled,1,no,yes
unknown,36,critical,car,5842.00 ,< 100 DM,> 7 years,2,2,35,none,own,2,skilled,2,yes,no
< 0 DM,12,good,car,2579.00 ,< 100 DM,< 1 year,4,1,33,none,own,1,unskilled,2,no,yes
< 0 DM,18,poor,education,8471.00 ,unknown,1 - 4 years,1,2,23,none,rent,2,skilled,1,yes,no
unknown,21,good,car,2782.00 ,500 - 1000 DM,4 - 7 years,1,2,31,bank,own,1,management,1,no,no
1 - 200 DM,18,good,car,1042.00 ,unknown,1 - 4 years,4,2,33,none,own,1,skilled,1,no,yes
unknown,15,good,car,3186.00 ,> 1000 DM,4 - 7 years,2,3,20,none,rent,1,skilled,1,no,no
1 - 200 DM,12,good,car,2028.00 ,unknown,1 - 4 years,4,2,30,none,own,1,skilled,1,no,no
1 - 200 DM,12,critical,car,958.00 ,< 100 DM,4 - 7 years,2,3,47,none,own,2,unskilled,2,no,no
unknown,21,poor,furniture/appliances,1591.00 ,100 - 500 DM,4 - 7 years,4,3,34,none,own,2,management,1,no,no
1 - 200 DM,12,good,furniture/appliances,2762.00 ,unknown,> 7 years,1,2,25,bank,own,1,skilled,1,yes,yes
1 - 200 DM,18,good,car,2779.00 ,< 100 DM,1 - 4 years,1,3,21,none,rent,1,skilled,1,yes,no
unknown,28,critical,furniture/appliances,2743.00 ,< 100 DM,> 7 years,4,2,29,none,own,2,skilled,1,no,no
unknown,18,critical,furniture/appliances,1149.00 ,> 1000 DM,1 - 4 years,4,3,46,none,own,2,skilled,1,no,no
unknown,9,good,furniture/appliances,1313.00 ,< 100 DM,> 7 years,1,4,20,none,own,1,skilled,1,no,no
< 0 DM,18,critical,renovations,1190.00 ,< 100 DM,unemployed,2,4,55,none,other,3,unemployed,2,no,yes
unknown,5,good,business,3448.00 ,< 100 DM,4 - 7 years,1,4,74,none,own,1,unskilled,1,no,no
1 - 200 DM,24,good,car0,11328.00 ,< 100 DM,1 - 4 years,2,3,29,bank,own,2,management,1,yes,yes
< 0 DM,6,critical,furniture/appliances,1872.00 ,< 100 DM,unemployed,4,4,36,none,other,3,management,1,yes,no
unknown,24,critical,renovations,2058.00 ,< 100 DM,1 - 4 years,4,2,33,none,own,2,skilled,1,yes,no
< 0 DM,9,good,furniture/appliances,2136.00 ,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,no
1 - 200 DM,12,good,furniture/appliances,1484.00 ,unknown,1 - 4 years,2,1,25,none,own,1,skilled,1,yes,yes
unknown,6,good,renovations,660.00 ,500 - 1000 DM,4 - 7 years,2,4,23,none,rent,1,unskilled,1,no,no
unknown,24,critical,car,1287.00 ,> 1000 DM,> 7 years,4,4,37,none,own,2,skilled,1,yes,no
< 0 DM,42,critical,renovations,3394.00 ,< 100 DM,unemployed,4,4,65,none,own,2,unemployed,1,no,no
> 200 DM,12,very good,business,609.00 ,< 100 DM,< 1 year,4,1,26,none,own,1,unemployed,1,no,yes
unknown,12,good,car,1884.00 ,< 100 DM,> 7 years,4,4,39,none,own,1,management,1,yes,no
< 0 DM,12,good,furniture/appliances,1620.00 ,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no,no
1 - 200 DM,20,poor,car0,2629.00 ,< 100 DM,1 - 4 years,2,3,29,bank,own,2,skilled,1,yes,no
unknown,12,good,education,719.00 ,< 100 DM,> 7 years,4,4,41,bank,own,1,unskilled,2,no,yes
1 - 200 DM,48,critical,furniture/appliances,5096.00 ,< 100 DM,1 - 4 years,2,3,30,none,own,1,management,1,yes,yes
unknown,9,critical,education,1244.00 ,unknown,> 7 years,4,4,41,none,rent,2,unskilled,1,no,no
< 0 DM,36,good,car,1842.00 ,< 100 DM,< 1 year,4,4,34,none,own,1,skilled,1,yes,yes
1 - 200 DM,7,good,furniture/appliances,2576.00 ,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no,no
> 200 DM,12,good,furniture/appliances,1424.00 ,unknown,> 7 years,3,4,55,none,own,1,management,1,yes,no
1 - 200 DM,15,poor,renovations,1512.00 ,> 1000 DM,1 - 4 years,3,3,61,store,own,2,skilled,1,no,yes
unknown,36,critical,car,11054.00 ,unknown,1 - 4 years,4,2,30,none,own,1,management,1,yes,no
unknown,6,good,furniture/appliances,518.00 ,< 100 DM,1 - 4 years,3,1,29,none,own,1,skilled,1,no,no
unknown,12,perfect,furniture/appliances,2759.00 ,< 100 DM,> 7 years,2,4,34,none,own,2,skilled,1,no,no
unknown,24,good,car,2670.00 ,< 100 DM,> 7 years,4,4,35,none,own,1,management,1,yes,no
< 0 DM,24,good,car,4817.00 ,< 100 DM,4 - 7 years,2,3,31,none,own,1,skilled,1,yes,yes
unknown,24,good,car,2679.00 ,< 100 DM,< 1 year,4,1,29,none,own,1,management,1,yes,no
< 0 DM,11,critical,car,3905.00 ,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,no
< 0 DM,12,good,car,3386.00 ,< 100 DM,> 7 years,3,4,35,none,other,1,skilled,1,yes,yes
< 0 DM,6,good,furniture/appliances,343.00 ,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,no
unknown,18,good,furniture/appliances,4594.00 ,< 100 DM,< 1 year,3,2,32,none,own,1,skilled,1,yes,no
< 0 DM,36,good,furniture/appliances,3620.00 ,< 100 DM,1 - 4 years,1,2,37,none,own,1,skilled,2,no,no
< 0 DM,15,good,car,1721.00 ,< 100 DM,< 1 year,2,3,36,none,own,1,skilled,1,no,no
1 - 200 DM,12,good,furniture/appliances,3017.00 ,< 100 DM,< 1 year,3,1,34,none,rent,1,management,1,no,no
1 - 200 DM,12,good,education,754.00 ,unknown,> 7 years,4,4,38,none,own,2,skilled,1,no,no
unknown,18,good,business,1950.00 ,< 100 DM,4 - 7 years,4,1,34,store,own,2,skilled,1,yes,no
< 0 DM,24,good,car,2924.00 ,< 100 DM,1 - 4 years,3,4,63,bank,own,1,skilled,2,yes,no
< 0 DM,24,poor,furniture/appliances,1659.00 ,< 100 DM,< 1 year,4,2,29,none,rent,1,unskilled,1,yes,yes
unknown,48,poor,furniture/appliances,7238.00 ,unknown,> 7 years,3,3,32,bank,own,2,skilled,2,no,no
unknown,33,poor,business,2764.00 ,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,yes,no
unknown,24,poor,car,4679.00 ,< 100 DM,4 - 7 years,3,3,35,none,own,2,unskilled,1,yes,no
1 - 200 DM,24,good,furniture/appliances,3092.00 ,100 - 500 DM,< 1 year,3,2,22,none,rent,1,skilled,1,yes,yes
< 0 DM,6,good,education,448.00 ,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,no,yes
< 0 DM,9,good,car,654.00 ,< 100 DM,1 - 4 years,4,3,28,none,own,1,unskilled,1,no,yes
unknown,6,good,education,1238.00 ,unknown,unemployed,4,4,36,none,own,1,management,2,yes,no
1 - 200 DM,18,critical,furniture/appliances,1245.00 ,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,yes
< 0 DM,18,perfect,furniture/appliances,3114.00 ,< 100 DM,< 1 year,1,4,26,none,rent,1,skilled,1,no,yes
unknown,39,good,car,2569.00 ,500 - 1000 DM,1 - 4 years,4,4,24,none,own,1,skilled,1,no,no
> 200 DM,24,good,furniture/appliances,5152.00 ,< 100 DM,4 - 7 years,4,2,25,bank,own,1,skilled,1,no,no
1 - 200 DM,12,good,business,1037.00 ,100 - 500 DM,4 - 7 years,3,4,39,none,own,1,unskilled,1,no,no
< 0 DM,15,critical,furniture/appliances,1478.00 ,< 100 DM,> 7 years,4,4,44,none,own,2,skilled,2,yes,no
1 - 200 DM,12,critical,furniture/appliances,3573.00 ,< 100 DM,1 - 4 years,1,1,23,none,own,1,unskilled,1,no,no
1 - 200 DM,24,good,car,1201.00 ,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no,no
< 0 DM,30,good,furniture/appliances,3622.00 ,> 1000 DM,> 7 years,4,4,57,none,rent,2,skilled,1,yes,no
unknown,15,poor,furniture/appliances,960.00 ,> 1000 DM,4 - 7 years,3,2,30,none,own,2,skilled,1,no,no
unknown,12,critical,car,1163.00 ,500 - 1000 DM,1 - 4 years,4,4,44,none,own,1,skilled,1,yes,no
1 - 200 DM,6,poor,car,1209.00 ,< 100 DM,unemployed,4,4,47,none,own,1,management,1,yes,yes
unknown,12,good,furniture/appliances,3077.00 ,< 100 DM,1 - 4 years,2,4,52,none,own,1,skilled,1,yes,no
unknown,24,good,car,3757.00 ,< 100 DM,> 7 years,4,4,62,none,other,1,skilled,1,yes,no
unknown,10,good,car,1418.00 ,100 - 500 DM,1 - 4 years,3,2,35,none,rent,1,unskilled,1,no,no
unknown,6,good,car,3518.00 ,< 100 DM,1 - 4 years,2,3,26,none,rent,1,skilled,1,no,no
unknown,12,critical,furniture/appliances,1934.00 ,< 100 DM,> 7 years,2,2,26,none,own,2,skilled,1,no,no
1 - 200 DM,27,perfect,business,8318.00 ,< 100 DM,> 7 years,2,4,42,none,other,2,management,1,yes,yes
unknown,6,critical,furniture/appliances,1237.00 ,100 - 500 DM,1 - 4 years,1,1,27,none,own,2,skilled,1,no,no
1 - 200 DM,6,good,furniture/appliances,368.00 ,unknown,> 7 years,4,4,38,none,own,1,skilled,1,no,no
< 0 DM,12,critical,car,2122.00 ,< 100 DM,1 - 4 years,3,2,39,none,rent,2,unskilled,2,no,no
< 0 DM,24,good,furniture/appliances,2996.00 ,unknown,1 - 4 years,2,4,20,none,own,1,skilled,1,no,yes
1 - 200 DM,36,good,furniture/appliances,9034.00 ,100 - 500 DM,< 1 year,4,1,29,none,rent,1,management,1,yes,yes
unknown,24,critical,furniture/appliances,1585.00 ,< 100 DM,4 - 7 years,4,3,40,none,own,2,skilled,1,no,no
1 - 200 DM,18,good,furniture/appliances,1301.00 ,< 100 DM,> 7 years,4,2,32,none,own,1,unskilled,1,no,no
> 200 DM,6,critical,car,1323.00 ,100 - 500 DM,> 7 years,2,4,28,none,own,2,skilled,2,yes,no
< 0 DM,24,good,car,3123.00 ,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,yes
< 0 DM,36,good,car,5493.00 ,< 100 DM,> 7 years,2,4,42,none,other,1,skilled,2,no,no
> 200 DM,9,good,furniture/appliances,1126.00 ,100 - 500 DM,> 7 years,2,4,49,none,own,1,skilled,1,no,no
1 - 200 DM,24,critical,furniture/appliances,1216.00 ,100 - 500 DM,< 1 year,4,4,38,bank,own,2,skilled,2,no,yes
< 0 DM,24,good,car,1207.00 ,< 100 DM,< 1 year,4,4,24,none,rent,1,skilled,1,no,yes
unknown,10,good,car,1309.00 ,unknown,1 - 4 years,4,4,27,none,own,1,unskilled,1,no,yes
> 200 DM,15,critical,car,2360.00 ,500 - 1000 DM,1 - 4 years,2,2,36,none,own,1,skilled,1,yes,no
1 - 200 DM,15,very good,car,6850.00 ,100 - 500 DM,unemployed,1,2,34,none,own,1,management,2,yes,yes
unknown,24,good,furniture/appliances,1413.00 ,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
unknown,39,good,car,8588.00 ,100 - 500 DM,> 7 years,4,2,45,none,own,1,management,1,yes,no
< 0 DM,12,good,car,759.00 ,< 100 DM,4 - 7 years,4,2,26,none,own,1,skilled,1,no,yes
unknown,36,good,car,4686.00 ,< 100 DM,1 - 4 years,2,2,32,none,other,1,management,1,yes,no
> 200 DM,15,good,business,2687.00 ,< 100 DM,4 - 7 years,2,4,26,none,rent,1,skilled,1,yes,no
1 - 200 DM,12,poor,furniture/appliances,585.00 ,< 100 DM,1 - 4 years,4,4,20,none,rent,2,skilled,1,no,no
unknown,24,good,car,2255.00 ,unknown,< 1 year,4,1,54,none,own,1,skilled,1,no,no
< 0 DM,6,critical,car,609.00 ,< 100 DM,4 - 7 years,4,3,37,none,own,2,skilled,1,no,no
< 0 DM,6,critical,car,1361.00 ,< 100 DM,< 1 year,2,4,40,none,own,1,unskilled,2,no,no
unknown,36,critical,furniture/appliances,7127.00 ,< 100 DM,< 1 year,2,4,23,none,rent,2,skilled,1,yes,yes
< 0 DM,6,good,car,1203.00 ,100 - 500 DM,> 7 years,3,2,43,none,own,1,skilled,1,yes,no
unknown,6,critical,furniture/appliances,700.00 ,unknown,> 7 years,4,4,36,none,other,2,skilled,1,no,no
unknown,24,critical,renovations,5507.00 ,< 100 DM,> 7 years,3,4,44,none,other,2,skilled,1,no,no
< 0 DM,18,good,furniture/appliances,3190.00 ,< 100 DM,1 - 4 years,2,2,24,none,own,1,skilled,1,no,yes
< 0 DM,48,perfect,furniture/appliances,7119.00 ,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,yes
unknown,24,good,car,3488.00 ,100 - 500 DM,4 - 7 years,3,4,23,none,own,1,skilled,1,no,no
1 - 200 DM,18,good,furniture/appliances,1113.00 ,< 100 DM,1 - 4 years,4,4,26,none,own,1,unskilled,2,no,no
1 - 200 DM,26,good,car,7966.00 ,< 100 DM,< 1 year,2,3,30,none,own,2,skilled,1,no,no
unknown,15,critical,education,1532.00 ,100 - 500 DM,1 - 4 years,4,3,31,none,own,1,skilled,1,no,no
unknown,4,critical,furniture/appliances,1503.00 ,< 100 DM,4 - 7 years,2,1,42,none,own,2,unskilled,2,no,no
< 0 DM,36,good,furniture/appliances,2302.00 ,< 100 DM,1 - 4 years,4,4,31,none,rent,1,skilled,1,no,yes
< 0 DM,6,good,car,662.00 ,< 100 DM,< 1 year,3,4,41,none,own,1,unskilled,2,yes,no
1 - 200 DM,36,good,education,2273.00 ,< 100 DM,4 - 7 years,3,1,32,none,own,2,skilled,2,no,no
1 - 200 DM,15,good,car,2631.00 ,100 - 500 DM,1 - 4 years,2,4,28,none,rent,2,skilled,1,yes,yes
unknown,12,poor,car,1503.00 ,< 100 DM,1 - 4 years,4,4,41,none,rent,1,skilled,1,no,no
unknown,24,good,furniture/appliances,1311.00 ,100 - 500 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,yes,no
unknown,24,good,furniture/appliances,3105.00 ,unknown,< 1 year,4,2,25,none,own,2,skilled,1,no,no
> 200 DM,21,critical,education,2319.00 ,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,no,yes
< 0 DM,6,good,car,1374.00 ,unknown,unemployed,4,3,75,none,own,1,management,1,yes,no
1 - 200 DM,18,critical,furniture/appliances,3612.00 ,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,yes,no
< 0 DM,48,good,car,7763.00 ,< 100 DM,> 7 years,4,4,42,bank,other,1,management,1,no,yes
> 200 DM,18,good,furniture/appliances,3049.00 ,< 100 DM,< 1 year,1,1,45,store,own,1,unskilled,1,no,no
1 - 200 DM,12,good,furniture/appliances,1534.00 ,< 100 DM,< 1 year,1,1,23,none,rent,1,skilled,1,no,yes
unknown,24,poor,car,2032.00 ,< 100 DM,> 7 years,4,4,60,none,other,2,skilled,1,yes,no
< 0 DM,30,good,furniture/appliances,6350.00 ,unknown,> 7 years,4,4,31,none,own,1,skilled,1,no,yes
> 200 DM,18,good,furniture/appliances,2864.00 ,< 100 DM,1 - 4 years,2,1,34,none,own,1,unskilled,2,no,yes
unknown,12,critical,car,1255.00 ,< 100 DM,> 7 years,4,4,61,none,own,2,unskilled,1,no,no
< 0 DM,24,poor,car,1333.00 ,< 100 DM,unemployed,4,2,43,none,other,2,skilled,2,no,yes
unknown,24,critical,car,2022.00 ,< 100 DM,1 - 4 years,4,4,37,none,own,1,skilled,1,yes,no
unknown,24,good,furniture/appliances,1552.00 ,< 100 DM,4 - 7 years,3,1,32,bank,own,1,skilled,2,no,no
< 0 DM,12,very good,furniture/appliances,626.00 ,< 100 DM,1 - 4 years,4,4,24,bank,own,1,unskilled,1,no,yes
unknown,48,critical,car,8858.00 ,unknown,4 - 7 years,2,1,35,none,other,2,skilled,1,yes,no
unknown,12,critical,renovations,996.00 ,unknown,4 - 7 years,4,4,23,none,own,2,skilled,1,no,no
unknown,6,very good,furniture/appliances,1750.00 ,500 - 1000 DM,> 7 years,2,4,45,bank,own,1,unskilled,2,no,no
< 0 DM,48,good,furniture/appliances,6999.00 ,< 100 DM,4 - 7 years,1,1,34,none,own,2,skilled,1,yes,yes
1 - 200 DM,12,critical,car,1995.00 ,100 - 500 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,no
1 - 200 DM,9,good,education,1199.00 ,< 100 DM,4 - 7 years,4,4,67,none,own,2,management,1,yes,no
1 - 200 DM,12,good,furniture/appliances,1331.00 ,< 100 DM,< 1 year,2,1,22,store,own,1,skilled,1,no,yes
1 - 200 DM,18,perfect,car,2278.00 ,100 - 500 DM,< 1 year,3,3,28,none,own,2,skilled,1,no,yes
unknown,21,perfect,car,5003.00 ,unknown,1 - 4 years,1,4,29,bank,own,2,skilled,1,yes,yes
< 0 DM,24,very good,furniture/appliances,3552.00 ,< 100 DM,4 - 7 years,3,4,27,bank,own,1,skilled,1,no,yes
1 - 200 DM,18,critical,furniture/appliances,1928.00 ,< 100 DM,< 1 year,2,2,31,none,own,2,unskilled,1,no,yes
< 0 DM,24,good,car,2964.00 ,unknown,> 7 years,4,4,49,bank,other,1,skilled,2,yes,no
< 0 DM,24,very good,furniture/appliances,1546.00 ,< 100 DM,4 - 7 years,4,4,24,bank,rent,1,unskilled,1,no,yes
> 200 DM,6,poor,furniture/appliances,683.00 ,< 100 DM,< 1 year,2,1,29,bank,own,1,skilled,1,no,no
1 - 200 DM,36,good,car,12389.00 ,unknown,1 - 4 years,1,4,37,none,other,1,skilled,1,yes,yes
1 - 200 DM,24,poor,business,4712.00 ,unknown,1 - 4 years,4,2,37,bank,own,2,management,1,yes,no
1 - 200 DM,24,poor,furniture/appliances,1553.00 ,100 - 500 DM,4 - 7 years,3,2,23,none,rent,2,skilled,1,yes,no
< 0 DM,12,good,car,1372.00 ,< 100 DM,4 - 7 years,2,3,36,none,own,1,skilled,1,no,yes
unknown,24,critical,furniture/appliances,2578.00 ,> 1000 DM,> 7 years,2,2,34,none,own,1,skilled,1,no,no
1 - 200 DM,48,good,furniture/appliances,3979.00 ,unknown,4 - 7 years,4,1,41,none,own,2,skilled,2,yes,no
< 0 DM,48,good,furniture/appliances,6758.00 ,< 100 DM,1 - 4 years,3,2,31,none,own,1,skilled,1,yes,yes
< 0 DM,24,good,furniture/appliances,3234.00 ,< 100 DM,< 1 year,4,4,23,none,rent,1,unskilled,1,yes,yes
unknown,30,critical,furniture/appliances,5954.00 ,< 100 DM,4 - 7 years,3,2,38,none,own,1,skilled,1,no,no
unknown,24,good,car,5433.00 ,unknown,unemployed,2,4,26,none,rent,1,management,1,yes,no
< 0 DM,15,good,business,806.00 ,< 100 DM,1 - 4 years,4,4,22,none,own,1,unskilled,1,no,no
1 - 200 DM,9,good,furniture/appliances,1082.00 ,< 100 DM,> 7 years,4,4,27,none,own,2,unskilled,1,no,no
unknown,15,critical,furniture/appliances,2788.00 ,< 100 DM,4 - 7 years,2,3,24,bank,own,2,skilled,1,no,no
1 - 200 DM,12,good,furniture/appliances,2930.00 ,< 100 DM,4 - 7 years,2,1,27,none,own,1,skilled,1,no,no
unknown,24,critical,education,1927.00 ,unknown,1 - 4 years,3,2,33,none,own,2,skilled,1,yes,no
1 - 200 DM,36,critical,car,2820.00 ,< 100 DM,< 1 year,4,4,27,none,own,2,skilled,1,no,yes
unknown,24,good,education,937.00 ,< 100 DM,< 1 year,4,3,27,none,own,2,unskilled,1,no,no
1 - 200 DM,18,critical,car,1056.00 ,< 100 DM,> 7 years,3,3,30,bank,own,2,skilled,1,no,yes
1 - 200 DM,12,critical,car,3124.00 ,< 100 DM,< 1 year,1,3,49,bank,own,2,unskilled,2,no,no
unknown,9,good,furniture/appliances,1388.00 ,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no,no
1 - 200 DM,36,good,renovations,2384.00 ,< 100 DM,< 1 year,4,1,33,none,rent,1,unskilled,1,no,yes
unknown,12,good,car,2133.00 ,unknown,> 7 years,4,4,52,none,other,1,management,1,yes,no
< 0 DM,18,good,furniture/appliances,2039.00 ,< 100 DM,1 - 4 years,1,4,20,bank,rent,1,skilled,1,no,yes
< 0 DM,9,critical,car,2799.00 ,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,no
< 0 DM,12,good,furniture/appliances,1289.00 ,< 100 DM,1 - 4 years,4,1,21,none,own,1,unskilled,1,no,no
< 0 DM,18,good,furniture/appliances,1217.00 ,< 100 DM,1 - 4 years,4,3,47,none,own,1,unskilled,1,yes,yes
< 0 DM,12,critical,furniture/appliances,2246.00 ,< 100 DM,> 7 years,3,3,60,none,own,2,skilled,1,no,yes
< 0 DM,12,critical,furniture/appliances,385.00 ,< 100 DM,4 - 7 years,4,3,58,none,own,4,unskilled,1,yes,no
1 - 200 DM,24,poor,car,1965.00 ,unknown,1 - 4 years,4,4,42,none,rent,2,skilled,1,yes,no
unknown,21,good,business,1572.00 ,> 1000 DM,> 7 years,4,4,36,bank,own,1,unskilled,1,no,no
1 - 200 DM,24,good,car,2718.00 ,< 100 DM,1 - 4 years,3,4,20,none,rent,1,unskilled,1,yes,yes
< 0 DM,24,very good,car0,1358.00 ,unknown,> 7 years,4,3,40,store,own,1,management,1,yes,yes
1 - 200 DM,6,very good,car,931.00 ,100 - 500 DM,< 1 year,1,1,32,store,own,1,unskilled,1,no,yes
< 0 DM,24,good,car,1442.00 ,< 100 DM,4 - 7 years,4,4,23,none,rent,2,skilled,1,no,yes
1 - 200 DM,24,perfect,business,4241.00 ,< 100 DM,1 - 4 years,1,4,36,none,own,3,unskilled,1,yes,yes
